Time | Location | Setting/Notes

0    | Dragonstone | The Eyrie
10:00 | Dragonstone-throneroom | Castle black with blue instead of purple
16:30 | Dragonstone-throneroom | Dinerys stare down
20:30 | Open-water-reek |
21:10 | Casterly-rock | 
22:40 | casterly-rock-throneroom | torches more orange
25:20 | dungeon | torches darker
30:00 | casterly-rock-torches | fade and flicker torches?
30:55 | casterly-rock-morning | riverrun - orange, blue, white
34:25 | dragonstone-beach | highgarden more orange
38:20 | dragonstone-ready-room | The eyrie - more blue
40:25 | dragonstone-beach | highgarden
42:00 | winterfell | castle black
45:30 | winterfell-tree |
47:30 | somewhere-south-sir-davos | highgarden
50:00 | same-place | the eyrie? highgarden - more orange
51:50 | dragonstone-ready-room | 
52:50 | casterly-rock |
53:35 | dragonstone-ready-room |
54:13 | casterly-sewers | torches
56:15 | highgarden-lanisters-marching | highgarden - more red
